problem_type,dataset,model_name,model_category,test_r2,test_accuracy,test_rmse,training_time,prediction_time,memory_usage,explainability_score,timestamp
Regression,california_housing,Scikit-learn Linear Regression,ml,0.575787706032451,0.0,0.7455813830127763,0.002470731735229492,0.0003571510314941406,3.25,30,2025-10-22 22:23:01.966492
Regression,california_housing,Random Forest,ml,0.8052747336256919,0.0,0.5051432839771741,8.406311750411987,0.25009799003601074,138.48828125,50,2025-10-22 22:23:10.624457
Regression,california_housing,Support Vector Machine,ml,0.7275692556869465,0.0,0.5974911658733342,3.745607376098633,4.316494703292847,2.24609375,30,2025-10-22 22:23:18.692700
Regression,california_housing,Multi-layer Perceptron,ml,0.7694652340433425,0.0,0.5496315375833781,2.661235809326172,0.05515098571777344,1.25,30,2025-10-22 22:23:21.411868
Regression,california_housing,OLS Regression (statsmodels),statistical,0.5757877060324508,0.0,0.7455813830127764,0.06680798530578613,0.0025937557220458984,0.75,100,2025-10-22 22:23:21.484805
Regression,california_housing,Generalized Linear Model (statsmodels),statistical,0.5757877060324508,0.0,0.7455813830127764,0.030472993850708008,0.0025963783264160156,5.5,90,2025-10-22 22:23:21.520737
Regression,diabetes,Scikit-learn Linear Regression,ml,0.45260276297191926,0.0,53.853445836765935,0.0006566047668457031,0.0002562999725341797,0.0,30,2025-10-22 22:23:21.527901
Regression,diabetes,Random Forest,ml,0.4410293927822705,0.0,54.419767548198884,0.18242335319519043,0.005760669708251953,0.0,50,2025-10-22 22:23:21.717491
Regression,diabetes,Support Vector Machine,ml,0.18221699094239507,0.0,65.82354046498651,0.002643108367919922,0.002949237823486328,0.0,30,2025-10-22 22:23:21.724304
Regression,diabetes,Multi-layer Perceptron,ml,-0.9711517080084517,0.0,102.19325255796717,0.06985187530517578,0.00044465065002441406,0.0,30,2025-10-22 22:23:21.795737
Regression,diabetes,OLS Regression (statsmodels),statistical,0.45260276297191926,0.0,53.853445836765935,0.004663944244384766,0.00018024444580078125,0.0,100,2025-10-22 22:23:21.804848
Regression,diabetes,Generalized Linear Model (statsmodels),statistical,0.45260276297191926,0.0,53.853445836765935,0.0015132427215576172,0.0001704692840576172,0.0,90,2025-10-22 22:23:21.807907
Regression,wine_quality,Scikit-learn Linear Regression,ml,0.7871058610512139,0.0,0.49850121387587454,0.0006821155548095703,0.00016832351684570312,0.0,30,2025-10-22 22:23:21.811209
Regression,wine_quality,Random Forest,ml,0.7658794768508814,0.0,0.52276211992292,0.6810264587402344,0.016321659088134766,0.0,50,2025-10-22 22:23:22.509920
Regression,wine_quality,Support Vector Machine,ml,0.7088503694404468,0.0,0.582965010459493,0.033811330795288086,0.03306698799133301,0.0,30,2025-10-22 22:23:22.578318
Regression,wine_quality,Multi-layer Perceptron,ml,0.6104961678250118,0.0,0.6742799329529353,0.2844734191894531,0.0011403560638427734,0.0,30,2025-10-22 22:23:22.865286
Regression,wine_quality,OLS Regression (statsmodels),statistical,0.7871058610512139,0.0,0.49850121387587454,0.008379936218261719,0.0002846717834472656,0.0,100,2025-10-22 22:23:22.875660
Regression,wine_quality,Generalized Linear Model (statsmodels),statistical,0.7871058610512139,0.0,0.49850121387587454,0.002398252487182617,0.000286102294921875,0.0,90,2025-10-22 22:23:22.879805
Regression,energy_consumption,Scikit-learn Linear Regression,ml,0.8082818315589804,0.0,141.91055205147455,0.0014142990112304688,0.0002753734588623047,0.0,30,2025-10-22 22:23:22.890618
Regression,energy_consumption,Random Forest,ml,0.9690703850518916,0.0,56.999403465297384,4.071837902069092,0.5424792766571045,247.25,50,2025-10-22 22:23:27.506918
Regression,energy_consumption,Support Vector Machine,ml,0.9195809560177713,0.0,91.90994512445725,14.663021802902222,15.179288625717163,-17.8671875,30,2025-10-22 22:23:57.357502
Regression,energy_consumption,Multi-layer Perceptron,ml,0.9557812728787252,0.0,68.15318747154954,4.301323652267456,0.16596293449401855,0.0,30,2025-10-22 22:24:01.828629
Regression,energy_consumption,OLS Regression (statsmodels),statistical,0.8082818315589804,0.0,141.91055205147458,0.07318115234375,0.004861116409301758,0.0,100,2025-10-22 22:24:01.912660
Regression,energy_consumption,Generalized Linear Model (statsmodels),statistical,0.8082818315589804,0.0,141.91055205147458,0.020481586456298828,0.0026192665100097656,6.75,90,2025-10-22 22:24:01.938431
Classification,iris,Random Forest,ml,0.0,1.0,0.0,0.0923149585723877,0.005203723907470703,0.25,50,2025-10-22 22:24:02.046053
Classification,iris,Support Vector Machine,ml,0.0,1.0,0.0,0.001041412353515625,0.0005011558532714844,0.0,30,2025-10-22 22:24:02.052423
Classification,iris,Multi-layer Perceptron,ml,0.0,1.0,0.0,0.03678727149963379,0.0004343986511230469,0.25,30,2025-10-22 22:24:02.094567
Classification,iris,Logistic Regression (statsmodels),statistical,0.0,0.6333333333333333,0.0,0.004380464553833008,0.00017571449279785156,0.25,90,2025-10-22 22:24:02.103242
Classification,iris,Generalized Linear Model (statsmodels),statistical,0.0,1.0,0.0,0.0011563301086425781,0.0001952648162841797,0.0,90,2025-10-22 22:24:02.108661
Classification,wine_classification,Random Forest,ml,0.0,1.0,0.0,0.05519866943359375,0.0033702850341796875,0.5,50,2025-10-22 22:24:02.173053
Classification,wine_classification,Support Vector Machine,ml,0.0,1.0,0.0,0.0009214878082275391,0.0005624294281005859,0.0,30,2025-10-22 22:24:02.178726
Classification,wine_classification,Multi-layer Perceptron,ml,0.0,1.0,0.0,0.04602789878845215,0.00041294097900390625,0.0,30,2025-10-22 22:24:02.229087
Classification,wine_classification,Logistic Regression (statsmodels),statistical,0.0,0.7777777777777778,0.0,0.014194250106811523,0.000186920166015625,0.25,90,2025-10-22 22:24:02.247869
Classification,wine_classification,Generalized Linear Model (statsmodels),statistical,0.0,0.9166666666666666,0.0,0.0015625953674316406,0.00024628639221191406,0.0,90,2025-10-22 22:24:02.254024
Classification,breast_cancer,Random Forest,ml,0.0,0.9649122807017544,0.0,0.10116982460021973,0.004054069519042969,0.0,50,2025-10-22 22:24:02.368078
Classification,breast_cancer,Support Vector Machine,ml,0.0,0.9824561403508771,0.0,0.0017590522766113281,0.002170562744140625,0.0,30,2025-10-22 22:24:02.377008
Classification,breast_cancer,Multi-layer Perceptron,ml,0.0,0.9736842105263158,0.0,0.13226795196533203,0.0008382797241210938,0.0,30,2025-10-22 22:24:02.516792
Classification,breast_cancer,Logistic Regression (statsmodels),statistical,0.0,0.956140350877193,0.0,0.34485697746276855,0.0003809928894042969,0.5,90,2025-10-22 22:24:02.871163
Classification,breast_cancer,Generalized Linear Model (statsmodels),statistical,0.0,0.956140350877193,0.0,0.01172018051147461,0.00030732154846191406,0.0,90,2025-10-22 22:24:02.891989
Classification,credit_default,Random Forest,ml,0.0,0.944,0.0,4.257656097412109,0.16485357284545898,23.5,50,2025-10-22 22:24:07.343675
Classification,credit_default,Support Vector Machine,ml,0.0,0.954,0.0,1.7100403308868408,3.0200164318084717,-16.3046875,30,2025-10-22 22:24:12.081257
Classification,credit_default,Multi-layer Perceptron,ml,0.0,0.9473333333333334,0.0,5.809295415878296,0.09206557273864746,0.0,30,2025-10-22 22:24:17.994793
Classification,credit_default,Logistic Regression (statsmodels),statistical,0.0,0.9573333333333334,0.0,0.17096781730651855,0.004353046417236328,0.0,90,2025-10-22 22:24:18.181442
Classification,credit_default,Generalized Linear Model (statsmodels),statistical,0.0,0.925,0.0,0.05262327194213867,0.0036530494689941406,14.55859375,90,2025-10-22 22:24:18.249690
Time Series,energy_consumption,Multi-layer Perceptron,ml,0.960576568331412,0.0,64.15482665952243,4.280119180679321,0.022533893585205078,0.5,30,2025-10-22 22:24:22.567709
Time Series,energy_consumption,Random Forest,ml,0.9690532944364217,0.0,56.840689136084535,3.9796767234802246,0.4656951427459717,229.75,50,2025-10-22 22:24:27.015681
Time Series,energy_consumption,Generalized Linear Model (statsmodels),statistical,0.8073738190713902,0.0,141.81095455035123,0.06920766830444336,0.003082275390625,0.0,90,2025-10-22 22:24:27.096852
Time Series,stock_prices,Multi-layer Perceptron,ml,0.620370440395327,0.0,16.01953753848642,0.3637256622314453,0.0011246204376220703,0.0,30,2025-10-22 22:24:27.475373
Time Series,stock_prices,Random Forest,ml,0.9841867375911012,0.0,3.269495190063228,0.6337332725524902,0.02292633056640625,0.0,50,2025-10-22 22:24:28.133390
Time Series,stock_prices,Generalized Linear Model (statsmodels),statistical,0.9860807523356968,0.0,3.067452490860737,0.0023431777954101562,0.0002651214599609375,0.0,90,2025-10-22 22:24:28.137352
Time Series,temperature,Multi-layer Perceptron,ml,0.9649859879100633,0.0,2.1772833055083787,0.13207030296325684,0.0006520748138427734,0.0,30,2025-10-22 22:24:28.272368
Time Series,temperature,Random Forest,ml,0.962746463960802,0.0,2.245834528865858,0.18329763412475586,0.009099006652832031,0.0,50,2025-10-22 22:24:28.465944
Time Series,temperature,Generalized Linear Model (statsmodels),statistical,0.9718762000882558,0.0,1.9513312677117327,0.0014941692352294922,0.00019407272338867188,0.0,90,2025-10-22 22:24:28.468916
Time Series,sales_forecasting,Multi-layer Perceptron,ml,-4.951794441753921,0.0,850.4790106795888,0.2613949775695801,0.0010716915130615234,0.0,30,2025-10-22 22:24:28.734995
Time Series,sales_forecasting,Random Forest,ml,0.9690902340396681,0.0,61.28970013973522,0.24468135833740234,0.0169827938079834,0.0,50,2025-10-22 22:24:28.998610
Time Series,sales_forecasting,Generalized Linear Model (statsmodels),statistical,0.9722378841388067,0.0,58.08525755312815,0.002693653106689453,0.0002570152282714844,0.0,90,2025-10-22 22:24:29.003016
Survival Analysis,customer_churn,Random Forest,ml,0.0,0.01,0.0,3.2441043853759766,0.12792754173278809,31.5,50,2025-10-22 22:24:32.385061
Survival Analysis,customer_churn,Cox Regression (lifelines),statistical,-0.35667537050291065,0.0,19.152593737051774,0.39510178565979004,0.003549337387084961,-45.9375,70,2025-10-22 22:24:33.382980
Survival Analysis,customer_churn,Kaplan-Meier (lifelines),statistical,-0.2617880291147143,0.0,18.47067758672506,0.008376359939575195,0.00011181831359863281,0.25,70,2025-10-22 22:24:33.971681
Survival Analysis,patient_survival,Random Forest,ml,0.0,0.005,0.0,1.6693754196166992,0.05362963676452637,18.25,50,2025-10-22 22:24:35.703689
Survival Analysis,patient_survival,Cox Regression (lifelines),statistical,-0.3848760380153069,0.0,43.06839898782477,0.1707594394683838,0.0026760101318359375,0.0,70,2025-10-22 22:24:36.037646
Survival Analysis,patient_survival,Kaplan-Meier (lifelines),statistical,-0.36805430375094206,0.0,42.806029417970656,0.006615638732910156,9.34600830078125e-05,0.0,70,2025-10-22 22:24:36.190499
