Model,Problem Type,Category,Training Time (s),Performance,Efficiency
OLS Regression,Regression,Statistical,0.000100,0.650,6435.64
ANOVA,Factorial Analysis,Statistical,0.000100,0.550,5445.54
Linear Regression (ML),Regression,ML,0.000500,0.650,1297.41
Poisson Regression,Survival Analysis,Statistical,0.001000,0.350,349.65
Logistic Regression,Classification,Statistical,0.002000,0.880,439.78
Cox Regression,Survival Analysis,Statistical,0.040000,0.400,10.00
Random Forest,Classification,ML,0.150000,0.920,6.13
ARIMA,Time Series,Statistical,0.180000,0.450,2.50
SVM (SVR),Factorial Analysis,ML,0.400000,0.850,2.12
Gradient Boosting,Survival Analysis,ML,0.500000,0.850,1.70
RNN/LSTM (PyTorch),Time Series,ML/DL,2.500000,0.890,0.36
